Category,API Name,Free Tier,Auth Required,HTTPS,CORS,Primary Use Case,Rate Limits / Cost,Recommended Priority
Government - International,Open Government Australia,Yes,No,Yes,Unknown,Australian government data,Unlimited - Free,HIGH
Government - International,Open Government Canada,Yes,No,No,Unknown,Canadian government data,Unlimited - Free,HIGH
Government - International,Open Government UK,Yes,No,Yes,Unknown,UK government data,Unlimited - Free,HIGH
Government - International,Open Government Germany,Yes,No,Yes,Unknown,German government data,Unlimited - Free,HIGH
Government - International,Open Government France,Yes,apiKey,Yes,Unknown,French government data,Unlimited - Free,MEDIUM
Demographics,Census.gov,Yes,No,Yes,Unknown,US demographics,Unlimited - Free,CRITICAL
Demographics,Data USA,Yes,No,Yes,Unknown,Aggregated US demographic data,Unlimited - Free,HIGH
Demographics,IBGE,Yes,No,Yes,Unknown,Brazilian demographic data,Unlimited - Free,HIGH
Demographics,World Bank,Yes,No,Yes,Unknown,Global demographic data,Unlimited - Free,HIGH
Real Estate,OnWater,Yes,No,Yes,Yes,Property zoning classification,Unlimited - Free,MEDIUM
Real Estate,One Map Singapore,Yes,apiKey,Yes,Unknown,Singapore land authority,Free - Government,MEDIUM
Transportation - Aviation,ADS-B Exchange,Yes,No,Yes,Unknown,Real-time aircraft tracking,Unlimited - Free,HIGH
Transportation - Aviation,OpenSky Network,Yes,No,Yes,Unknown,Real-time ADS-B aviation data,Unlimited - Free,HIGH
Transportation - Aviation,AviationAPI,Yes,No,Yes,No,FAA charts + airport weather,Unlimited - Free,MEDIUM
Transportation - Transit,Transport for London,Yes,apiKey,Yes,Unknown,TfL API comprehensive transit,Unlimited - Free,HIGH
Transportation - Transit,Transport for Berlin,Yes,No,Yes,Unknown,VBB Berlin transit API,Unlimited - Free,MEDIUM
Transportation - Transit,Transport for Spain,Yes,No,Yes,Unknown,Spanish railway data,Unlimited - Free,MEDIUM
Transportation - Transit,Transport for Switzerland,Yes,apiKey,Yes,Unknown,Official Swiss transport,Unlimited - Free,MEDIUM
Transportation - Transit,BC Ferries,Yes,No,Yes,Yes,Ferry sailing times/capacity,Unlimited - Free,MEDIUM
Transportation - Other,GraphHopper,Yes,apiKey,Yes,Unknown,A-to-B routing + navigation,Unknown - Freemium,HIGH
Transportation - Other,Open Charge Map,Yes,apiKey,Yes,Yes,Global EV charging locations,Unlimited - Freemium,MEDIUM
Transportation - Other,AIS Hub,Yes,apiKey,No,Unknown,Marine vessel tracking,Unknown - Freemium,MEDIUM
Satellite/Imagery,NASA,Yes,No,Yes,No,NASA imagery + satellite data,Unlimited - Free,CRITICAL
Satellite/Imagery,Google Earth Engine,Yes,apiKey,Yes,Unknown,Planetary-scale analysis,Generous free tier,CRITICAL
Satellite/Imagery,TLE,Yes,No,Yes,No,Satellite orbital information,Unlimited - Free,HIGH
Satellite/Imagery,SpaceX,Yes,No,Yes,No,SpaceX launch + vehicle data,Unlimited - Free,MEDIUM
Satellite/Imagery,ISRO,Yes,No,Yes,No,Indian spacecraft information,Unlimited - Free,MEDIUM
Business Intelligence,OpenCorporates,Yes,apiKey,Yes,Unknown,Corporate data 80+ countries,Free tier available,HIGH
Business Intelligence,Enigma Public,Yes,apiKey,Yes,Yes,Broadest public data collection,Free tier available,HIGH
Business Intelligence,CARTO,Yes,apiKey,Yes,Unknown,Location intelligence analytics,Freemium,HIGH
Business Intelligence,OpenSanctions,Yes,No,Yes,Yes,International sanctions/PEPs,Unlimited - Free,MEDIUM
Financial,Econdb,Yes,No,Yes,Unknown,Global macroeconomic data,Unlimited - Free,HIGH
Financial,Fed Treasury,Yes,No,Yes,Unknown,US Treasury Department data,Unlimited - Free,HIGH
Financial,FRED,Yes,apiKey,Yes,Unknown,Federal Reserve economic data,Unknown - Freemium,MEDIUM
Financial,Yahoo Finance,Yes,apiKey,Yes,Unknown,Stock market + crypto data,Unknown - Freemium,MEDIUM
